Type,Threads,Execution,Thread_Id,Read_Lock_Wait,Write_Lock_Wait,Read_Lock_Aquired,Write_Lock_Aquired,Read_Lock_Failed,Write_Lock_Failed
skewed,1,272.65,0,49211375616.00,13183261696.00,621136415,178007396,0,0
sorted,1,196.99,0,43965579264.00,13210333184.00,591204212,178010288,0,0
skewed,2,373.34,0,91534745600.00,13618267136.00,290748527,89004403,1177422,1285592
skewed,2,373.34,1,90901118976.00,13385646080.00,290102651,89002833,1511560,1512723
sorted,2,332.50,0,87378206720.00,18598324224.00,274334565,89004107,2917214,5302868
sorted,2,332.50,1,88695996416.00,19246358528.00,272821628,89003328,1393442,5942006
skewed,4,356.95,0,100378214400.00,15778503680.00,157752834,44502002,4002351,712549
skewed,4,356.95,1,100756611072.00,15625498624.00,157172983,44502218,3811374,680558
skewed,4,356.95,2,101202870272.00,16226915328.00,157177968,44501160,4087333,725491
skewed,4,356.95,3,98746556416.00,15924851712.00,157772475,44502382,4316009,815712
sorted,4,366.48,0,104090124288.00,41956130816.00,140543451,44501470,4133720,16039846
sorted,4,366.48,1,104422588416.00,42542821376.00,140089032,44501535,3883001,16393367
sorted,4,366.48,2,101483126784.00,41759584256.00,139607093,44500414,4355027,17240881
sorted,4,366.48,3,97588543488.00,38544584704.00,136315142,44504247,4723788,12708015
skewed,8,357.49,0,115429015552.00,20898011136.00,77624993,22251041,5900983,1233899
skewed,8,357.49,1,116081999872.00,21091551232.00,78338450,22251077,5806714,1166276
skewed,8,357.49,2,117037596672.00,21436919808.00,78367695,22251778,5780421,1347902
skewed,8,357.49,3,116766228480.00,22633869312.00,78418419,22250501,5867890,1146875
skewed,8,357.49,4,116786274304.00,21210599424.00,78697527,22250627,6229804,1269151
skewed,8,357.49,5,117370953728.00,21128087552.00,79028227,22250745,5922519,1256360
skewed,8,357.49,6,122421690368.00,20557731840.00,78056487,22250852,6032022,1323005
skewed,8,357.49,7,121137258496.00,20229814272.00,76962143,22251312,6001303,1274009
sorted,8,353.95,0,111510249472.00,51703025664.00,76974006,22250632,5472716,16522850
sorted,8,353.95,1,113176567808.00,48718774272.00,75115856,22251418,6697205,15476655
sorted,8,353.95,2,111961366528.00,52054032384.00,77660099,22250952,6202359,15977101
sorted,8,353.95,3,111918899200.00,52006268928.00,76331729,22250586,6572689,15860173
sorted,8,353.95,4,113972740096.00,51933450240.00,76965980,22250292,5406268,16307164
sorted,8,353.95,5,104403787776.00,46469140480.00,76367412,22250544,7152862,15727705
sorted,8,353.95,6,111859900416.00,47107543040.00,75816876,22250403,7017564,14456991
sorted,8,353.95,7,60314947584.00,26331303936.00,56145921,22252851,5259696,6659711