Type,Threads,Execution_Time,Thread_Number,Lock_Waiting,Read_Lock_Failed,Write_Lock_Failed
skew,1,258.85,0,61.17,0,0
sorted,1,189.47,0,55.76,0,0
skew,2,356.33,0,103.23,4089003,879302
skew,2,356.33,1,112.21,1264085,394346
sorted,2,337.28,0,125.48,2519702,7162914
sorted,2,337.28,1,127.42,679950,3778287
skew,4,381.34,0,123.11,2287395,668628
skew,4,381.34,1,109.54,3423486,797716
skew,4,381.34,2,120.95,2658661,729234
skew,4,381.34,3,135.67,2494864,633928
sorted,4,351.82,0,135.22,2464078,23695982
sorted,4,351.82,1,146.95,2575771,23124986
sorted,4,351.82,2,120.64,2886531,25094809
sorted,4,351.82,3,135.09,2318834,24201936
skew,8,371.86,0,143.02,4268603,1682937
skew,8,371.86,1,142.69,3939760,1690280
skew,8,371.86,2,154.93,4666320,1822506
skew,8,371.86,3,147.20,4532300,1619658
skew,8,371.86,4,146.94,4593545,1576990
skew,8,371.86,5,152.86,4657505,1632739
skew,8,371.86,6,159.71,4628485,1856518
skew,8,371.86,7,164.19,4117895,1770352
sorted,8,361.19,0,158.50,3660583,19946146
sorted,8,361.19,1,163.07,3428052,19679606
sorted,8,361.19,2,158.85,4595633,17113223
sorted,8,361.19,3,162.37,3553866,18847920
sorted,8,361.19,4,166.12,3948585,21194698
sorted,8,361.19,5,155.47,3794025,17390855
sorted,8,361.19,6,149.18,4472222,13200673
sorted,8,361.19,7,123.75,3783373,10978025